"QB.Name","RB1.Name","RB2.Name","WR1.Name","WR2.Name","WR3.Name","TE.Name","K.Name","D.Name","Salary","PredictedPoints"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Lamar Miller, HOU, , 7900","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59500","153.244903034519"
"Kirk Cousins, WAS, , 7400","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59700","153.22742499693"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Amari Cooper, OAK, , 7100","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59800","153.214743213721"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Dennis Pitta, BAL, , 5400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","60000","153.170706392423"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","58900","153.159620032674"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Lamar Miller, HOU, , 7900","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59600","153.143040961491"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Cairo Santos, KC, , 4700","HOU, HOU, , 4400","59000","153.057757959645"
"Russell Wilson, SEA, , 8400","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Eli Rogers, PIT, , 4900","Doug Baldwin, SEA, , 7600","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59600","153.03638295517"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Allen Robinson, JAX, , 8600","Eli Rogers, PIT, , 4900","Travis Kelce, KC, , 6400","Adam Vinatieri, IND, , 5200","HOU, HOU, , 4400","59800","153.005637271257"
"Blake Bortles, JAX, , 7800","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Eli Rogers, PIT, , 4900","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Adam Vinatieri, IND, , 5200","HOU, HOU, , 4400","59600","152.973849890545"
"Drew Brees, NO, , 8500","Chris Thompson, WAS, , 5200","Le'Veon Bell, PIT, , 9300","Doug Baldwin, SEA, , 7600","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59600","152.924041268534"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Allen Robinson, JAX, , 8600","Eli Rogers, PIT, , 4900","Travis Kelce, KC, , 6400","Justin Tucker, BAL, , 4900","HOU, HOU, , 4400","59500","152.922993201526"
"Blake Bortles, JAX, , 7800","Frank Gore, IND, , 6300","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Justin Tucker, BAL, , 4900","HOU, HOU, , 4400","59800","152.915682880639"
"Blake Bortles, JAX, , 7800","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Eli Rogers, PIT, , 4900","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Justin Tucker, BAL, , 4900","HOU, HOU, , 4400","59300","152.891205820814"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Allen Robinson, JAX, , 8600","Eli Rogers, PIT, , 4900","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59600","152.8858784689"
"Blake Bortles, JAX, , 7800","Frank Gore, IND, , 6300","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59900","152.878568148013"
"Ben Roethlisberger, PIT, , 8700","Jordan Howard, CHI, , 7700","Le'Veon Bell, PIT, , 9300","Eli Rogers, PIT, , 4900","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59700","152.86079990892"
"Blake Bortles, JAX, , 7800","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Eli Rogers, PIT, , 4900","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59400","152.854091088188"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Amari Cooper, OAK, , 7100","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59600","152.852971466155"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Dennis Pitta, BAL, , 5400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59800","152.808934644856"
"Ben Roethlisberger, PIT, , 8700","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Eli Rogers, PIT, , 4900","Doug Baldwin, SEA, , 7600","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","60000","152.803115106508"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Lamar Miller, HOU, , 7900","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","59400","152.781269213924"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Allen Robinson, JAX, , 8600","Eli Rogers, PIT, , 4900","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59400","152.729499206318"
"Blake Bortles, JAX, , 7800","Frank Gore, IND, , 6300","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59700","152.722188885431"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","DeSean Jackson, WAS, , 6400","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Adam Vinatieri, IND, , 5200","HOU, HOU, , 4400","59600","152.700051344014"
"Blake Bortles, JAX, , 7800","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Eli Rogers, PIT, , 4900","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","59200","152.697711825606"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Michael Crabtree, OAK, , 7000","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Wil Lutz, NO, , 4500","HOU, HOU, , 4400","58800","152.695986212079"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","LeSean McCoy, BUF, , 8200","Odell Beckham Jr., NYG, , 8300","Brandin Cooks, NO, , 7500","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Steven Hauschka, SEA, , 4800","HOU, HOU, , 4400","60000","152.628902387698"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","DeSean Jackson, WAS, , 6400","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Justin Tucker, BAL, , 4900","HOU, HOU, , 4400","59300","152.617407274283"
"Drew Brees, NO, , 8500","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","DeSean Jackson, WAS, , 6400","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Stephen Gostkowski, NE, , 5000","HOU, HOU, , 4400","59400","152.580292541657"
"Blake Bortles, JAX, , 7800","Giovani Bernard, CIN, , 5700","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Allen Robinson, JAX, , 8600","Eli Rogers, PIT, , 4900","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59200","152.55375958623"
"Blake Bortles, JAX, , 7800","Lamar Miller, HOU, , 7900","Le'Veon Bell, PIT, , 9300","Brandin Cooks, NO, , 7500","Eli Rogers, PIT, , 4900","Allen Hurns, JAX, , 6200","Travis Kelce, KC, , 6400","Mason Crosby, GB, , 4600","HOU, HOU, , 4400","59000","152.521972205518"
