"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"QBcarsonpalmer",18.06,16.7,15,18.4,2,"16711-6748","Carson Palmer","QB","FanDuel","","",15,7300,"ARI","CAR",FALSE,"carsonpalmer",0.0621832314085515,19.1830291592384
"QBcarsonwentz",15.441666702,14.96833351,14.37666702,15.56,2,"16711-70324","Carson Wentz","QB","FanDuel","","",14.37666702,6700,"PHI","DAL",FALSE,"carsonwentz",0.103622893727521,17.0417768896371
"QBdakprescott",17.931666656,17.89833328,17.85666656,17.94,2,"16711-31716","Dak Prescott","QB","FanDuel","","",17.85666656,7100,"DAL","PHI",TRUE,"dakprescott",0.0847363977218047,19.4511314935776
"QBderekcarr",19.480857073,19.084285365,18.58857073,19.58,2,"16711-45859","Derek Carr","QB","FanDuel","","",18.58857073,7800,"OAK","TB",FALSE,"derekcarr",-0.090163878287472,17.7243874469344
"QBdrewbrees",20.397999888,22.14999944,19.96,24.33999888,2,"16711-6504","Drew Brees","QB","FanDuel","","",24.33999888,8000,"NO","SEA",TRUE,"drewbrees",-0.094886612476194,18.4625027773379
"QBjameiswinston",19.610333298,19.17166649,18.62333298,19.72,2,"16711-24849","Jameis Winston","QB","FanDuel","","",18.62333298,7400,"TB","OAK",TRUE,"jameiswinston",0.0604941676882722,20.7966440889521
"QBjimmygaroppolo",1.184666697,5.923333485,0,11.84666697,2,"16711-54604","Jimmy Garoppolo","QB","FanDuel","","",11.84666697,5800,"NE","BUF",FALSE,"jimmygaroppolo",-0.73851385533603,0.30977392731033
"QBjoshmccown",16.012999962,16.18499981,15.97,16.39999962,2,"16711-6803","Josh McCown","QB","FanDuel","","",16.39999962,6400,"CLE","NYJ",TRUE,"joshmccown",0.22840700103396,19.6704812608773
"QBkevinhogan",2.316999962,9.46499981,0.53,18.39999962,2,"16711-29715","Kevin Hogan","QB","FanDuel","","",18.39999962,6000,"CLE","NYJ",TRUE,"kevinhogan",-0.00250826499188583,2.31118831210911
"QBmarksanchez",1.228000005,6.140000025,0,12.28000005,2,"16711-6687","Mark Sanchez","QB","FanDuel","","",12.28000005,4900,"DAL","PHI",TRUE,"marksanchez",0.118326755747686,1.37330526164979
"QBmatthewstafford",19.290714338,19.93357169,19.13,20.73714338,2,"16711-6654","Matthew Stafford","QB","FanDuel","","",20.73714338,7700,"DET","HOU",FALSE,"matthewstafford",0.00538297789002562,19.3945558267643
"QBmattryan",21.051142831,21.975714155,20.82,23.13142831,2,"16711-6616","Matt Ryan","QB","FanDuel","","",23.13142831,8500,"ATL","GB",TRUE,"mattryan",0.133412709659799,23.8596328375192
"QBmattschaub",1.530000019,7.650000095,0,15.30000019,2,"16711-6679","Matt Schaub","QB","FanDuel","","",15.30000019,6000,"ATL","GB",TRUE,"mattschaub",0.2152968496018,1.85940420298139
"QBpaxtonlynch",1.530000042,6.21000021,0.36,12.06000042,2,"16711-33463","Paxton Lynch","QB","FanDuel","","",12.06000042,5800,"DEN","SD",TRUE,"paxtonlynch",0.176483248952584,1.80001942030975
"QBphiliprivers",16.306285754,16.97142877,16.14,17.80285754,2,"16711-7968","Philip Rivers","QB","FanDuel","","",17.80285754,7300,"SD","DEN",FALSE,"philiprivers",-0.195317613045499,13.1213809428909
"QBrussellwilson",19.555333293,17.016666465,13.84333293,20.19,2,"16711-22015","Russell Wilson","QB","FanDuel","","",13.84333293,8200,"SEA","NO",FALSE,"russellwilson",0.195727202343549,23.3828439693346
"QBryanfitzpatrick",17.534999969,14.994999845,11.81999969,18.17,2,"16711-7659","Ryan Fitzpatrick","QB","FanDuel","","",11.81999969,7300,"NYJ","CLE",FALSE,"ryanfitzpatrick",0.249312981994859,21.9067031005511
