"Key","mean.weight","mean.nonweight","min","max","freq","Id","Name","Position","Source","Injury Indicator","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"RBcharcandrickwest",5.773714264,5.41928566,4.82857132,6.01,2,"16864-54687","Charcandrick West","RB","FanDuel","",4.82857132,6000,"KC","CAR",FALSE,"charcandrickwest",0.144475748628641,6.60787595465926
"RBchrisivory",9.330666692,7.90666673,5.53333346,10.28,2,"16864-11864","Chris Ivory","RB","FanDuel","",5.53333346,5200,"JAX","HOU",TRUE,"chrisivory",0.0335909109145378,9.64409228562422
"RBchristhompson",7.9785000762,8.1412501905,7.87,8.412500381,2,"16864-24891","Chris Thompson","RB","FanDuel","",8.412500381,4900,"WAS","MIN",TRUE,"christhompson",0.202406637910076,9.59340145218893
"RBcjprosise",7.714000019,6.5650000475,4.650000095,8.48,2,"16864-33472","C.J. Prosise","RB","FanDuel","",4.650000095,4700,"SEA","NE",FALSE,"cjprosise",0.336008400434155,10.3059688263332
"RBcjspiller",1.9613333206,2.9383333015,1.31,4.566666603,2,"16864-11419","C.J. Spiller","RB","FanDuel","",4.566666603,4500,"NYJ","LA",TRUE,"cjspiller",-0.0658762099499443,1.83212811499033
"RBdamienwilliams",5.3365714286,5.8264285715,5.01,6.642857143,2,"16864-27441","Damien Williams","RB","FanDuel","",6.642857143,4500,"MIA","SD",FALSE,"damienwilliams",0.120856184255011,5.98152908846491
"RBdarrensproles",12.2254999618,10.9737499045,8.887499809,13.06,2,"16864-7972","Darren Sproles","RB","FanDuel","",8.887499809,5100,"PHI","ATL",TRUE,"darrensproles",-0.131821328386442,10.6139183166471
"RBdavidjohnson",23.615499924,22.94874981,21.83749962,24.06,2,"16864-62497","David Johnson","RB","FanDuel","",21.83749962,9400,"ARI","SF",TRUE,"davidjohnson",-0.094420036816978,21.3857235517246
"RBdemarcomurray",16.184000068,17.31500017,15.43,19.20000034,2,"16864-14254","DeMarco Murray","RB","FanDuel","",19.20000034,7400,"TEN","GB",TRUE,"demarcomurray",-0.22450389630612,12.5506289949155
"RBderrickhenry",4.338499981,4.7412499525,4.07,5.412499905,2,"16864-39280","Derrick Henry","RB","FanDuel","",5.412499905,5300,"TEN","GB",TRUE,"derrickhenry",0.12344145726441,4.87405074099625
"RBdevontaebooker",12.2133333502,10.0583333755,6.466666751,13.65,2,"16864-39580","Devontae Booker","RB","FanDuel","",6.466666751,7800,"DEN","NO",FALSE,"devontaebooker",-0.0256865620069644,11.8996148057884
"RBdevontafreeman",15.788444444,15.20111111,14.22222222,16.18,2,"16864-24920","Devonta Freeman","RB","FanDuel","",14.22222222,7000,"ATL","PHI",FALSE,"devontafreeman",0.324326887829979,20.909061494199
"RBdionlewis",2.919999912,7.29999978,0,14.59999956,2,"16864-14339","Dion Lewis","RB","FanDuel","",14.59999956,4500,"NE","SEA",TRUE,"dionlewis",-0.11688751636202,2.578688374509
"RBdjfoster",1.033333302,1.033333302,1.033333302,1.033333302,1,"16864-29183","D.J. Foster","RB","FanDuel","",1.033333302,4500,"NE","SEA",TRUE,"djfoster",0,1.033333302
"RBdonjackson",1.066666683,1.066666683,1.066666683,1.066666683,1,"16864-43504","Don Jackson","RB","FanDuel","",1.066666683,5200,"GB","TEN",FALSE,"donjackson",-0.00382006081578479,1.06259195140077
"RBdougmartin",7.5199999618,7.3999999045,7.199999809,7.6,2,"16864-21970","Doug Martin","RB","FanDuel","Q",7.199999809,6500,"TB","CHI",TRUE,"dougmartin",-0.133598030350297,6.51534277866921
"RBdujuanharris",8.763999962,10.614999905,7.53,13.69999981,2,"16864-14643","DuJuan Harris","RB","FanDuel","",13.69999981,5200,"SF","ARI",FALSE,"dujuanharris",-0.0637956306147701,8.20489505771639
"RBezekielelliott",19.807000152,19.53250038,19.07500076,19.99,2,"16864-38791","Ezekiel Elliott","RB","FanDuel","",19.07500076,8900,"DAL","PIT",FALSE,"ezekielelliott",-0.252552034117133,14.804701973854
"RBfozzywhittaker",3.0630000382,4.0425000955,2.41,5.675000191,2,"16864-37245","Fozzy Whittaker","RB","FanDuel","",5.675000191,4600,"CAR","KC",TRUE,"fozzywhittaker",0.0564648685399791,3.23595193269491
"RBjamesstarks",5.8339999904,4.789999976,3.049999952,6.53,2,"16864-11609","James Starks","RB","FanDuel","Q",3.049999952,5300,"GB","TEN",FALSE,"jamesstarks",-0.171586141637841,4.83296644173206
"RBjameswhite",8.309,8.4275,8.23,8.625,2,"16864-28930","James White","RB","FanDuel","",8.625,5400,"NE","SEA",TRUE,"jameswhite",0.0208591758343586,8.48231889200769
"RBjayajayi",16.960571472,16.54142868,15.84285736,17.24,2,"16864-46882","Jay Ajayi","RB","FanDuel","",15.84285736,7800,"MIA","SD",FALSE,"jayajayi",0.135380679880514,19.2567051690414
"RBjeremylangford",4.371999981,5.3949999525,3.69,7.099999905,2,"16864-28202","Jeremy Langford","RB","FanDuel","",7.099999905,4900,"CHI","TB",FALSE,"jeremylangford",0.0484346818549783,4.58375640914971
"RBjerickmckinnon",6.8365714722,6.2764286805,5.342857361,7.21,2,"16864-54608","Jerick McKinnon","RB","FanDuel","",5.342857361,5700,"MIN","WAS",FALSE,"jerickmckinnon",-0.282821668917987,4.9030409187553
"RBjohnkuhn",1.725714264,2.88928566,0.95,4.82857132,2,"16864-7244","John Kuhn","RB","FanDuel","",4.82857132,4500,"NO","DEN",TRUE,"johnkuhn",0.0789827855319405,1.86201598360292
"RBjonathanstewart",12.01600003,11.725000075,11.24000015,12.21,2,"16864-6733","Jonathan Stewart","RB","FanDuel","",11.24000015,6800,"CAR","KC",TRUE,"jonathanstewart",-0.0268390615579536,11.6935018655145
"RBjordanhoward",13.711999912,13.66999978,13.59999956,13.74,2,"16864-42142","Jordan Howard","RB","FanDuel","",13.59999956,6900,"CHI","TB",FALSE,"jordanhoward",0.0285556177938953,14.103554540677
"RBkadeemcarey",2.4906666604,2.506666651,2.48,2.533333302,2,"16864-29003","Ka'Deem Carey","RB","FanDuel","",2.533333302,4500,"CHI","TB",FALSE,"kadeemcarey",0.0796912730307484,2.68915105726252
"RBkapribibbs",6.9960000152,5.730000038,3.620000076,7.84,2,"16864-45683","Kapri Bibbs","RB","FanDuel","",3.620000076,4600,"DEN","NO",FALSE,"kapribibbs",0.0317325797352372,7.21800114351005
"RBkenjonbarner",1.9399999872,2.674999968,1.45,3.899999936,2,"16864-29357","Kenjon Barner","RB","FanDuel","",3.899999936,4800,"PHI","ATL",TRUE,"kenjonbarner",-0.212614085598502,1.52752866386037
"RBkennethfarrow",1.5719999924,1.484999981,1.339999962,1.63,2,"16864-31874","Kenneth Farrow","RB","FanDuel","",1.339999962,4500,"SD","MIA",TRUE,"kennethfarrow",0,1.5719999924
"RBkenyandrake",2.0800000306,3.2650000765,1.29,5.240000153,2,"16864-30989","Kenyan Drake","RB","FanDuel","",5.240000153,4500,"MIA","SD",FALSE,"kenyandrake",0.16529077963204,2.42380485729254
"RBlamarmiller",14.355499962,13.898749905,13.13749981,14.66,2,"16864-22037","Lamar Miller","RB","FanDuel","",13.13749981,7500,"HOU","JAX",FALSE,"lamarmiller",-0.0491563234085938,13.6498363631759
"RBlancedunbar",1.182,2.145,0.54,3.75,2,"16864-22292","Lance Dunbar","RB","FanDuel","",3.75,4500,"DAL","PIT",FALSE,"lancedunbar",0.00105079371348271,1.18324203816934
"RBlegarretteblount",11.663,12.8675,10.86,14.875,2,"16864-11779","LeGarrette Blount","RB","FanDuel","",14.875,6400,"NE","SEA",TRUE,"legarretteblount",-0.0251127088677205,11.3701104764758
"RBleveonbell",18.660000062,18.105000155,17.18000031,19.03,2,"16864-28181","Le'Veon Bell","RB","FanDuel","",17.18000031,8100,"PIT","DAL",TRUE,"leveonbell",-0.0509285047100234,17.7096741609534
"RBmarkingram",11.668000038,12.280000095,11.26,13.30000019,2,"16864-14211","Mark Ingram","RB","FanDuel","",13.30000019,6300,"NO","DEN",TRUE,"markingram",0.0702181060024849,12.4873049015053
"RBmattasiata",7.834,7.615,7.25,7.98,2,"16864-14757","Matt Asiata","RB","FanDuel","",7.25,5800,"MIN","WAS",FALSE,"mattasiata",-0.362649618356105,4.99300288979827
"RBmattforte",14.67777771,14.869444275,14.55,15.18888855,2,"16864-6899","Matt Forte","RB","FanDuel","",15.18888855,7100,"NYJ","LA",TRUE,"mattforte",0.0668629993411873,15.6591779513538
"RBmattjones",2.037142944,5.09285736,0,10.18571472,2,"16864-30244","Matt Jones","RB","FanDuel","",10.18571472,5800,"WAS","MIN",TRUE,"mattjones",0.172070825808948,2.38767581266495
