"","id","Name","Position","PassingCompletions","PassingAttempts","PassingYards","PassingTD","Interceptions","RushingAttempts","RushingYards","RushingTD","Receptions","ReceptionYards","ReceptionTD","MiscFumTD","Misc2Point","FumblesLost","Source","PredictedPoints"
"351","","Ryan Lindley","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"361","","Austin Davis","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"371","","Matt Simms","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"381","","Alex Tanney","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"391","","EJ Manuel","QB",8.7,14.8,99.9,0.7,0.4,1,4,0,0,0,0,-1,-1,-1,"ESPN",0.30625
"401","","Mike Glennon","QB",1.6,2.8,18.4,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"411","","Geno Smith","QB",22,37.6,248.6,1.7,1.3,6.6,26.2,0.2,0,0,0,-1,-1,-1,"ESPN",0.975
"421","","Ryan Nassib","QB",1.7,2.9,19.2,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.025
"431","","Sean Renfree","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"45","","Landry Jones","QB",22.5,39.8,248.1,1.7,1.2,5.7,23.1,0.2,0,0,0,-1,-1,-1,"ESPN",1.025
"52","","Zac Dysert","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"62","","Matt Barkley","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"72","","Ryan Griffin","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"82","","Tyler Bray","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"92","","Matt McGloin","QB",1.7,2.8,18.4,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.025
"102","","Teddy Bridgewater*","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"112","","Johnny Manziel","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"122","","AJ McCarron","QB",1.5,2.6,17,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"132","","Tajh Boyd","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"142","","Logan Thomas","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"152","","Zach Mettenberger","QB",1.8,3,19.9,0.1,0.1,0.1,0.5,0,0,0,0,-1,-1,-1,"ESPN",0.0125
"162","","David Fales","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"172","","Keith Wenning","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"182","","Tom Savage","QB",9.8,17.5,112.3,0.7,0.7,0.4,1.5,0,0,0,0,-1,-1,-1,"ESPN",0.3375
"192","","Aaron Murray","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"202","","Matt Blanchard","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"212","","Dustin Vaughan*","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"222","","Connor Shaw*","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"232","","Bryce Petty","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"242","","Dylan Thompson","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"252","","Sean Mannion","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"262","","Garrett Grayson","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"272","","Brett Hundley","QB",1.7,2.9,18.7,0.2,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.025
"282","","Carson Wentz","QB",60.5,103.5,696.8,4.6,2.4,14,56.5,0.6,0,0,0,-1,-1,-1,"ESPN",2.98125
"292","","Christian Hackenberg","QB",1.4,2.5,14.7,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.01875
"302","","Jacoby Brissett","QB",0.5,0.8,4.9,0,0,0,0.1,0,0,0,0,-1,-1,-1,"ESPN",0.00625
"312","","Cody Kessler","QB",0.1,0.2,1.3,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"322","","Connor Cook","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"332","","Cardale Jones","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"342","","Kevin Hogan","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"352","","Nate Sudfeld","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"362","","Jake Rudock","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"372","","Brandon Allen","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"382","","Jeff Driskel","QB",20.8,38.1,212.3,1,1.4,4.2,14.3,0.1,0,0,0,-1,-1,-1,"ESPN",0.64375
"392","","Brandon Doughty","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"402","","Trevone Boykin","QB",1.5,2.6,16.6,0.1,0.1,0.1,0.4,0,0,0,0,-1,-1,-1,"ESPN",0.025
"412","","Taylor Heinicke*","QB",19.8,35.5,221.9,1.1,1.4,1.2,4.8,0,0,0,0,-1,-1,-1,"ESPN",0.6
"422","","Stephen Morris","QB",0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,"ESPN",0
"49","","Adrian Peterson","RB",0,0,0,0,0,300.8,1396.7,9.6,30.2,234.8,0.7,-1,-1,-1,"ESPN",13.60625
"56","","Todd Gurley","RB",0,0,0,0,0,297.8,1323.1,10.6,38.5,308.7,0.9,-1,-1,-1,"ESPN",14.1875
"66","","Ezekiel Elliott","RB",0,0,0,0,0,257,1118.9,8.5,41.9,356.9,1.5,-1,-1,-1,"ESPN",12.68125
"76","","David Johnson","RB",0,0,0,0,0,251.9,1041.3,8.2,58.2,529.9,2.6,-1,-1,-1,"ESPN",13.53125
"86","","Devonta Freeman","RB",0,0,0,0,0,232.2,926.1,6.7,69.1,549.1,2.3,-1,-1,-1,"ESPN",12.35
"96","","Le'Veon Bell","RB",0,0,0,0,0,215.8,944.2,6.4,56.2,483.6,2.5,-1,-1,-1,"ESPN",12.3
"106","","Lamar Miller","RB",0,0,0,0,0,282.2,1243,7.3,43.4,323.2,1.3,-1,-1,-1,"ESPN",12.8875
"116","","Doug Martin","RB",0,0,0,0,0,273,1215.4,6.6,32.3,250.8,1,-1,-1,-1,"ESPN",11.74375
"126","","Mark Ingram","RB",0,0,0,0,0,234.7,977.6,8.6,56.3,392,1.8,-1,-1,-1,"ESPN",12.25625
"136","","Eddie Lacy","RB",0,0,0,0,0,236.4,1016.4,6.4,29.1,232.6,1.3,-1,-1,-1,"ESPN",10.3625
"146","","LeSean McCoy","RB",0,0,0,0,0,266.8,1173.2,8.6,43,319.5,1.6,-1,-1,-1,"ESPN",12.93125
"156","","Jonathan Stewart","RB",0,0,0,0,0,237.4,1024.8,6.6,20.1,148.6,0.6,-1,-1,-1,"ESPN",9.7875
"166","","Carlos Hyde","RB",0,0,0,0,0,256.7,1031.7,7.2,34.3,240.4,0.9,-1,-1,-1,"ESPN",10.83125
"176","","C.J. Anderson","RB",0,0,0,0,0,233.8,1043,7.1,26.2,209.9,0.8,-1,-1,-1,"ESPN",10.5875
"186","","Jamaal Charles","RB",0,0,0,0,0,206.8,1059.9,7.9,44,369.2,2.1,-1,-1,-1,"ESPN",12.1375
"196","","Thomas Rawls","RB",0,0,0,0,0,218.3,1015.6,5.6,17.9,144,1,-1,-1,-1,"ESPN",9.58125
"206","","Matt Forte","RB",0,0,0,0,0,195.8,804.3,4.5,50.1,420.1,1.6,-1,-1,-1,"ESPN",9.83125
"216","","Jeremy Hill","RB",0,0,0,0,0,231.1,946.2,7.5,19,141.3,0.8,-1,-1,-1,"ESPN",9.59375
"226","","Latavius Murray","RB",0,0,0,0,0,230,975.1,5.5,33.4,237.5,1.7,-1,-1,-1,"ESPN",9.9875
"236","","Ryan Mathews","RB",0,0,0,0,0,205.3,930.6,6.2,25.2,186.3,0.5,-1,-1,-1,"ESPN",9.15625
"246","","DeMarco Murray","RB",0,0,0,0,0,226.2,987.8,7.7,25.2,191.9,0.7,-1,-1,-1,"ESPN",10.3
"256","","Jeremy Langford","RB",0,0,0,0,0,213.6,861.7,6.1,34.2,305.4,1.1,-1,-1,-1,"ESPN",9.74375
"266","","Matt Jones","RB",0,0,0,0,0,223.5,891.8,5.2,21.8,213,0.9,-1,-1,-1,"ESPN",8.675
"276","","Melvin Gordon","RB",0,0,0,0,0,246.7,945.3,4.1,33.1,218.6,1.1,-1,-1,-1,"ESPN",8.61875
"286","","Duke Johnson Jr.","RB",0,0,0,0,0,127.2,516.1,3.1,50.5,399.2,1.4,-1,-1,-1,"ESPN",7.24375
"296","","Danny Woodhead","RB",0,0,0,0,0,107.9,434.1,2.4,69.4,611,3.7,-1,-1,-1,"ESPN",8.825
"306","","Frank Gore","RB",0,0,0,0,0,216.6,877.5,5.4,33,280.4,1.4,-1,-1,-1,"ESPN",9.54375
"316","","Rashad Jennings","RB",0,0,0,0,0,203.6,891.5,5,32,254.5,1,-1,-1,-1,"ESPN",9.275
"326","","T.J. Yeldon","RB",0,0,0,0,0,156.2,650.6,3.9,35.5,273.6,1.4,-1,-1,-1,"ESPN",7.575
"335","","Giovani Bernard","RB",0,0,0,0,0,152.6,654.9,4,49.5,408.6,1.3,-1,-1,-1,"ESPN",8.48125
"345","","Arian Foster","RB",0,0,0,0,0,156.7,666.2,4.7,35.6,291.2,1.5,-1,-1,-1,"ESPN",8.0375
"355","","Ameer Abdullah","RB",0,0,0,0,0,188.9,807.9,4.7,37.1,292.6,1.2,-1,-1,-1,"ESPN",8.71875
"365","","Chris Ivory","RB",0,0,0,0,0,164.9,723.7,5.2,20.2,142,0.8,-1,-1,-1,"ESPN",7.4875
"375","","Derrick Henry","RB",0,0,0,0,0,158.3,673.9,6.8,17,140.4,0.6,-1,-1,-1,"ESPN",7.69375
"385","","DeAngelo Williams","RB",0,0,0,0,0,126.6,595.7,3.4,12.3,91.2,0.4,-1,-1,-1,"ESPN",5.58125
