"Key","Position","Home","mean.weight","mean.nonweight","min","max","freq","Id","Name","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","NameRM","bonusPositionHome","deepBonus","mean"
"Kadamvinatieri","K",TRUE,8.536,9.52,8.29,10.75,2,"16502-6668","Adam Vinatieri","FanDuel","","",10.75,4700,"IND","CHI","adamvinatieri",-0.0115723100467722,-0.018550125996747,8.27887488593252
"Kandrewfranks","K",TRUE,6.525,5.625,4.5,6.75,2,"16502-62619","Andrew Franks","FanDuel","","",4.5,4500,"MIA","TEN","andrewfranks",-0.0115723100467722,-0.018550125996747,6.32845110481604
"Kblairwalsh","K",TRUE,7.715,8.175,7.6,8.75,2,"16502-22110","Blair Walsh","FanDuel","","",8.75,4600,"MIN","HOU","blairwalsh",-0.0115723100467722,-0.018550125996747,7.48260540592425
"Kbrandonmcmanus","K",TRUE,7.964,7.98,7.96,8,2,"16502-26247","Brandon McManus","FanDuel","","",8,4700,"DEN","ATL","brandonmcmanus",-0.0115723100467722,-0.018550125996747,7.72410491934941
"Kcalebsturgis","K",FALSE,7.294666667,8.793333335,6.92,10.66666667,2,"16502-30261","Caleb Sturgis","FanDuel","","",10.66666667,4700,"PHI","DET","calebsturgis",0,-0.018550125996747,7.15934968122288
"Kchrisboswell","K",TRUE,7.519,6.955,6.25,7.66,2,"16502-32058","Chris Boswell","FanDuel","","",6.25,4700,"PIT","NYJ","chrisboswell",-0.0115723100467722,-0.0124020104608973,7.33873708410283
"Kcodyparkey","K",TRUE,6.649,8.805,6.11,11.5,2,"16502-31280","Cody Parkey","FanDuel","","",11.5,4500,"CLE","NE","codyparkey",-0.0115723100467722,-0.018550125996747,6.44871592274664
"Kconnorbarth","K",FALSE,6.281,5.045,3.5,6.59,2,"16502-6427","Connor Barth","FanDuel","","",3.5,4500,"CHI","IND","connorbarth",0,-0.018550125996747,6.16448665861443
"Kdancarpenter","K",FALSE,6.762,7.09,6.68,7.5,2,"16502-6810","Dan Carpenter","FanDuel","","",7.5,4600,"BUF","LA","dancarpenter",0,0.0110695483793373,6.83685228614108
"Kdustinhopkins","K",FALSE,7.768,9.76,7.27,12.25,2,"16502-24912","Dustin Hopkins","FanDuel","","",12.25,4800,"WAS","BAL","dustinhopkins",0,0.0269397550700796,7.97726801738438
"Kgregzuerlein","K",TRUE,6.632,7.24,6.48,8,2,"16502-22109","Greg Zuerlein","FanDuel","","",8,4600,"LA","BUF","gregzuerlein",-0.0115723100467722,-0.018550125996747,6.43222800415938
"Kjoshbrown","K",FALSE,7.7003333333,7.9816666665,7.63,8.333333333,2,"16502-6522","Josh Brown","FanDuel","","",8.333333333,4800,"NYG","GB","joshbrown",0,-0.018550125996747,7.55749117975033
