"Key","mean.old","min","max","freq","Id","Name","Position","Source","Injury Indicator","Injury Details","PredictedPoints","Salary","Team","Opponent","Home","NameRM","deepBonus","mean"
"RBtheoriddick",11.71,11.71,11.71,1,"16502-33465","Theo Riddick","RB","FanDuel","","",12.47500038,6200,"DET","PHI",TRUE,"theoriddick",0.27406443710903,14.9192945585467
"RBtoddgurley",14.56,14.56,14.56,1,"16502-30447","Todd Gurley","RB","FanDuel","","",10.85000038,7600,"LA","BUF",TRUE,"toddgurley",0.191198449952608,17.34384943131
"RBwendellsmallwood",6.87,6.87,6.87,1,"16502-38509","Wendell Smallwood","RB","FanDuel","","",5.200000127,5900,"PHI","DET",FALSE,"wendellsmallwood",-0.168359985298265,5.71336690100092
"RBzachzenner",4.42,4.42,4.42,1,"16502-62616","Zach Zenner","RB","FanDuel","","",3.900000095,5400,"DET","PHI",TRUE,"zachzenner",0,4.42
"TEanthonyfasano",1.21,1.21,1.21,1,"16502-6778","Anthony Fasano","TE","FanDuel","","",0.300000012,4500,"TEN","MIA",FALSE,"anthonyfasano",0.171539014219813,1.41756220720597
"TEaustinhooper",1.94,1.94,1.94,1,"16502-40126","Austin Hooper","TE","FanDuel","","",7.5,4500,"ATL","DEN",FALSE,"austinhooper",0.126567699992564,2.18554133798557
"TEaustinseferianjenkins",3.21,3.21,3.21,1,"16502-16923","Austin Seferian-Jenkins","TE","FanDuel","","",5.949999809,4600,"NYJ","PIT",FALSE,"austinseferianjenkins",-0.378704749774909,1.99435775322254
"TEbrandonbostick",1.99,1.99,1.99,1,"16502-23055","Brandon Bostick","TE","FanDuel","","",0,4500,"NYJ","PIT",FALSE,"brandonbostick",-0.115218006303546,1.76071616745594
"TEbrentcelek",1.74,1.74,1.74,1,"16502-6742","Brent Celek","TE","FanDuel","","",3.066666603,5100,"PHI","DET",FALSE,"brentcelek",0.100869019777489,1.91551209441283
"TEcjfiedorowicz",2.78,2.78,2.78,1,"16502-27908","C.J. Fiedorowicz","TE","FanDuel","Q","Knee - mcl",3.625,4500,"HOU","MIN",FALSE,"cjfiedorowicz",0.144495931778629,3.18169869034459
