"","Name","Position","mean","min","max","freq","range"
"298","Louis Murphy","WR",4.959999847,4.959999847,4.959999847,1,0
"299","Luke McCown","QB",6.199999809,6.199999809,6.199999809,1,0
"300","Marc Mariani","WR",7.7,7.7,7.7,1,0
"301","Marcel Reece","RB",4.233333333,4.233333333,4.233333333,1,0
"302","Marcus Easley","WR",4.100000064,4.100000064,4.100000064,1,0
"303","Marcus Mariota","QB",14.928333404,12.24,18.37666702,5,6.13666702
"304","Mark Ingram","RB",14.335833232,12.25625,18.9,5,6.64375
"305","Markus Wheaton","WR",7.0337499238,5.50625,8.2,5,2.69375
"306","Marlon Moore","WR",3.1,3.1,3.1,1,0
"307","Marqise Lee","WR",4.8113889228,3.50625,8.5,5,4.99375
"308","Marquess Wilson","WR",6.036363775,6.036363775,6.036363775,1,0
"309","Martellus Bennett","TE",5.259772755,3.4,8.036363775,5,4.636363775
"310","Marvin Jones","WR",7.35833333333333,5.1,8.4875,3,3.3875
"311","Marvin Jones Jr.","WR",8.1187498095,7.4,8.837499619,2,1.437499619
"312","Mason Crosby","K",7.7908333334,6,8.29375,5,2.29375
"313","Matt Bryant","K",8.4925,7.4,12,5,4.6
"314","Matt Cassel","QB",9.229999542,9.229999542,9.229999542,1,0
"315","Matt Forte","RB",12.377115338,9.83125,15.6,5,5.76875
"316","Matt Jones","RB",8.4438461774,7.3,9.5,5,2.2
"317","Matt LaCosse","TE",3.700000048,3.700000048,3.700000048,1,0
"318","Matt McGloin","QB",5.340000153,5.340000153,5.340000153,1,0
"319","Matt Prater","K",7.715,6.5,9,5,2.5
"320","Matt Ryan","QB",16.68075003,15.13125,19.5,5,4.36875
"321","Matt Schaub","QB",15.30000019,15.30000019,15.30000019,1,0
"322","Matthew Stafford","QB",17.127999984,13.1,18.95499992,5,5.85499992
"323","Maxx Williams","TE",4.47604165075,3.06875,7.7,4,4.63125
"324","Melvin Gordon","RB",8.078928615,6.3,10.3,5,4
"325","Miami","D",4,4,4,1,0
"326","Miami Dolphins","D",6,6,6,1,0
"327","Michael Campanaro","WR",3.424999952,3.424999952,3.424999952,1,0
"328","Michael Crabtree","WR",9.311249962,7.6,11.79374981,5,4.19374981
"329","Michael Floyd","WR",9.0686665852,6.8,11.8,5,5
"330","Michael Thomas","WR",6.49375,3.8,7.9,4,4.1
"331","Mike Evans","WR",11.369666748,10.3375,13.6,5,3.2625
"332","Mike Gillislee","RB",6.6599998475,3.6,9.719999695,2,6.119999695
"333","Mike Nugent","K",7.0075,5,8.1875,5,3.1875
"334","Mike Wallace","WR",5.64520835875,4.8,6.24375,4,1.44375
"335","Minnesota","D",5.9,5.9,5.9,1,0
