QB,RB,RB,WR,WR,WR,TE,K,D,,Instructions,,,,,,,,,,,,,a
,,,,,,,,,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,a
,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,a
,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,a
,,,,,,,,,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,a
,,,,,,,,,,,,,,,,,,,,,,,a
,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details
,,,,,,,,,,16939-33557:Tyler Eifert,16939-33557,TE,Tyler,,Eifert,11.06666692,3,6300,BUF@CIN,CIN,BUF,,
,,,,,,,,,,16939-54607:Terrance West,16939-54607,RB,Terrance,,West,9.18888855,9,6200,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-54684:Isaiah Crowell,16939-54684,RB,Isaiah,,Crowell,11.9,10,6200,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-22027:Nick Foles,16939-22027,QB,Nick,,Foles,14,2,6200,TB@KC,KC,TB,,
,,,,,,,,,,16939-33076:Travis Kelce,16939-33076,TE,Travis,,Kelce,9.733333164,9,6100,TB@KC,KC,TB,,
,,,,,,,,,,16939-7859:Julian Edelman,16939-7859,WR,Julian,,Edelman,8.39999983,9,6100,NE@SF,NE,SF,Q,Foot
,,,,,,,,,,16939-29715:Kevin Hogan,16939-29715,QB,Kevin,,Hogan,6.219999949,3,6000,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-54604:Jimmy Garoppolo,16939-54604,QB,Jimmy,,Garoppolo,8.859999657,4,6000,NE@SF,NE,SF,,
,,,,,,,,,,16939-14704:Chris Hogan,16939-14704,WR,Chris,,Hogan,6.533333249,9,6000,NE@SF,NE,SF,O,Back
,,,,,,,,,,16939-30231:Jacoby Brissett,16939-30231,QB,Jacoby,,Brissett,9.433333079,3,6000,NE@SF,NE,SF,IR,Thumb
,,,,,,,,,,16939-38435:Jared Goff,16939-38435,QB,Jared,,Goff,0,0,6000,MIA@LA,LA,MIA,,
,,,,,,,,,,16939-7744:Drew Stanton,16939-7744,QB,Drew,,Stanton,3.265000105,4,6000,ARI@MIN,ARI,MIN,,
,,,,,,,,,,16939-6739:DeSean Jackson,16939-6739,WR,DeSean,,Jackson,7.824999809,8,6000,GB@WAS,WAS,GB,Q,Shoulder
,,,,,,,,,,16939-7778:Matt Cassel,16939-7778,QB,Matt,,Cassel,0.25,2,6000,TEN@IND,TEN,IND,,
,,,,,,,,,,16939-22163:Rishard Matthews,16939-22163,WR,Rishard,,Matthews,10.23000031,10,6000,TEN@IND,TEN,IND,,
,,,,,,,,,,16939-6844:Shaun Hill,16939-6844,QB,Shaun,,Hill,10.23999977,1,6000,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-7872:Brian Hoyer,16939-7872,QB,Brian,,Hoyer,13.26666641,6,6000,CHI@NYG,CHI,NYG,IR,Forearm
,,,,,,,,,,16939-25290:Giovani Bernard,16939-25290,RB,Giovani,,Bernard,10.46666633,9,6000,BUF@CIN,CIN,BUF,,
,,,,,,,,,,16939-32514:Trevone Boykin,16939-32514,QB,Trevone,,Boykin,5.400000095,1,6000,PHI@SEA,SEA,PHI,,
,,,,,,,,,,16939-27405:Landry Jones,16939-27405,QB,Landry,,Jones,3.484999895,4,6000,PIT@CLE,PIT,CLE,,
,,,,,,,,,,16939-7970:Charlie Whitehurst,16939-7970,QB,Charlie,,Whitehurst,10.38000011,1,6000,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-25410:Mike Glennon,16939-25410,QB,Mike,,Glennon,9,1,6000,TB@KC,TB,KC,,
,,,,,,,,,,16939-14194:Blaine Gabbert,16939-14194,QB,Blaine,,Gabbert,15.53999939,5,6000,NE@SF,SF,NE,,
,,,,,,,,,,16939-29605:Matt Barkley,16939-29605,QB,Matt,,Barkley,1.139999986,1,6000,CHI@NYG,CHI,NYG,,
,,,,,,,,,,16939-14267:Ryan Mallett,16939-14267,QB,Ryan,,Mallett,0.029999999,2,6000,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-28930:James White,16939-28930,RB,James,,White,8.299999661,9,5900,NE@SF,NE,SF,,
,,,,,,,,,,16939-31047:AJ McCarron,16939-31047,QB,AJ,,McCarron,8.17999976,7,5900,BUF@CIN,CIN,BUF,,
,,,,,,,,,,16939-54606:John Brown,16939-54606,WR,John,,Brown,7.5,8,5900,ARI@MIN,ARI,MIN,,
,,,,,,,,,,16939-31397:Jeremy Hill,16939-31397,RB,Jeremy,,Hill,11.29999966,9,5900,BUF@CIN,CIN,BUF,,
,,,,,,,,,,16939-39716:Adam Thielen,16939-39716,WR,Adam,,Thielen,8.266666836,9,5900,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-27457:Kenny Stills,16939-27457,WR,Kenny,,Stills,7.888888889,9,5900,MIA@LA,MIA,LA,Q,Calf
,,,,,,,,,,16939-27477:Sterling Shepard,16939-27477,WR,Sterling,,Shepard,9.566666497,9,5900,CHI@NYG,NYG,CHI,,
,,,,,,,,,,16939-14317:Julius Thomas,16939-14317,TE,Julius,,Thomas,8.050000191,8,5900,JAC@DET,JAC,DET,,
,,,,,,,,,,16939-24641:Sammy Watkins,16939-24641,WR,Sammy,,Watkins,4.650000095,2,5800,BUF@CIN,BUF,CIN,IR,Foot
,,,,,,,,,,16939-30837:Jordan Matthews,16939-30837,WR,Jordan,,Matthews,11.11111111,9,5800,PHI@SEA,PHI,SEA,Q,Back
,,,,,,,,,,16939-34154:J.J. Nelson,16939-34154,WR,J.J.,,Nelson,6.5,7,5800,ARI@MIN,ARI,MIN,,
,,,,,,,,,,16939-14757:Matt Asiata,16939-14757,RB,Matt,,Asiata,7.333333333,9,5800,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-33260:DeVante Parker,16939-33260,WR,DeVante,,Parker,7.699999809,8,5800,MIA@LA,MIA,LA,,
,,,,,,,,,,16939-6774:Pierre Garcon,16939-6774,WR,Pierre,,Garcon,8.299999661,9,5700,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-62538:Cameron Meredith,16939-62538,WR,Cameron,,Meredith,8.742857252,7,5600,CHI@NYG,CHI,NYG,,
,,,,,,,,,,16939-54782:Cameron Brate,16939-54782,TE,Cameron,,Brate,9.444444444,9,5600,TB@KC,TB,KC,,
,,,,,,,,,,16939-30237:Mike Gillislee,16939-30237,RB,Mike,,Gillislee,7.044444614,9,5600,BUF@CIN,BUF,CIN,,
,,,,,,,,,,16939-8052:Rashad Jennings,16939-8052,RB,Rashad,,Jennings,8.083333333,6,5600,CHI@NYG,NYG,CHI,,
,,,,,,,,,,16939-11425:Ryan Mathews,16939-11425,RB,Ryan,,Mathews,11.16666667,9,5500,PHI@SEA,PHI,SEA,,
,,,,,,,,,,16939-11500:Colt McCoy,16939-11500,QB,Colt,,McCoy,8.819999695,1,5500,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-11609:James Starks,16939-11609,RB,James,,Starks,4.820000076,5,5500,GB@WAS,GB,WAS,,
,,,,,,,,,,16939-33244:Eli Rogers,16939-33244,WR,Eli,,Rogers,8.583333333,6,5500,PIT@CLE,PIT,CLE,,
,,,,,,,,,,16939-6641:Jason Witten,16939-6641,TE,Jason,,Witten,9.144444784,9,5500,BAL@DAL,DAL,BAL,,
,,,,,,,,,,16939-6735:Steve Smith Sr.,16939-6735,WR,Steve,,Smith Sr.,10.52857099,7,5500,BAL@DAL,BAL,DAL,,
,,,,,,,,,,16939-6808:Matt Moore,16939-6808,QB,Matt,,Moore,0.360000014,1,5500,MIA@LA,MIA,LA,,
,,,,,,,,,,16939-7844:Chad Henne,16939-7844,QB,Chad,,Henne,0,0,5500,JAC@DET,JAC,DET,,
,,,,,,,,,,16939-8050:Zach Miller,16939-8050,TE,Zach,,Miller,9.166666667,9,5500,CHI@NYG,CHI,NYG,,
,,,,,,,,,,16939-25760:Allen Hurns,16939-25760,WR,Allen,,Hurns,8.233333164,9,5400,JAC@DET,JAC,DET,,
,,,,,,,,,,16939-54608:Jerick McKinnon,16939-54608,RB,Jerick,,McKinnon,5.275000095,8,5400,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-31061:T.J. Yeldon,16939-31061,RB,T.J.,,Yeldon,8.288888719,9,5400,JAC@DET,JAC,DET,,
,,,,,,,,,,16939-54687:Charcandrick West,16939-54687,RB,Charcandrick,,West,4.537499905,8,5400,TB@KC,KC,TB,,
,,,,,,,,,,16939-53681:Tyreek Hill,16939-53681,WR,Tyreek,,Hill,8.666666667,9,5400,TB@KC,KC,TB,,
,,,,,,,,,,16939-11864:Chris Ivory,16939-11864,RB,Chris,,Ivory,5.471428462,7,5400,JAC@DET,JAC,DET,,
,,,,,,,,,,16939-25272:Eric Ebron,16939-25272,TE,Eric,,Ebron,10.01666641,6,5400,JAC@DET,DET,JAC,,
,,,,,,,,,,16939-33766:Rob Kelley,16939-33766,RB,Rob,,Kelley,5.942856925,7,5400,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-31732:Corey Coleman,16939-31732,WR,Corey,,Coleman,10.39999962,4,5400,PIT@CLE,CLE,PIT,,
,,,,,,,,,,16939-29685:Robert Woods,16939-29685,WR,Robert,,Woods,8.912500381,8,5400,BUF@CIN,BUF,CIN,Q,Foot
,,,,,,,,,,16939-14349:Jeremy Kerley,16939-14349,WR,Jeremy,,Kerley,8.711111281,9,5300,NE@SF,SF,NE,,
,,,,,,,,,,16939-30733:Cordarrelle Patterson,16939-30733,WR,Cordarrelle,,Patterson,6.011110942,9,5300,ARI@MIN,MIN,ARI,,
,,,,,,,,,,16939-31836:Terrance Williams,16939-31836,WR,Terrance,,Williams,6.5625,8,5300,BAL@DAL,DAL,BAL,,
,,,,,,,,,,16939-24671:Adam Humphries,16939-24671,WR,Adam,,Humphries,7.255555895,9,5300,TB@KC,TB,KC,,
,,,,,,,,,,16939-11495:Brandon LaFell,16939-11495,WR,Brandon,,LaFell,8.555555556,9,5300,BUF@CIN,CIN,BUF,,
,,,,,,,,,,16939-14643:DuJuan Harris,16939-14643,RB,DuJuan,,Harris,9.599999746,3,5300,NE@SF,SF,NE,,
,,,,,,,,,,16939-32243:Marquise Goodwin,16939-32243,WR,Marquise,,Goodwin,8.014285496,7,5300,BUF@CIN,BUF,CIN,,
,,,,,,,,,,16939-22004:Dwayne Allen,16939-22004,TE,Dwayne,,Allen,6.314285823,7,5300,TEN@IND,IND,TEN,,
,,,,,,,,,,16939-30244:Matt Jones,16939-30244,RB,Matt,,Jones,10.18571472,7,5300,GB@WAS,WAS,GB,,
,,,,,,,,,,16939-7972:Darren Sproles,16939-7972,RB,Darren,,Sproles,9.18888855,9,5300,PHI@SEA,PHI,SEA,,
,,,,,,,,,,16939-29734:Ty Montgomery,16939-29734,RB,Ty,,Montgomery,5.574999809,8,5200,GB@WAS,GB,WAS,,
,,,,,,,,,,16939-12550:Seattle Seahawks,16939-12550,D,Seattle,,Seahawks,8.666666667,9,5200,PHI@SEA,SEA,PHI,,
,,,,,,,,,,16939-6448:Martellus Bennett,16939-6448,TE,Martellus,,Bennett,10.44444444,9,5200,NE@SF,NE,SF,Q,Ankle
,,,,,,,,,,16939-6479:Anquan Boldin,16939-6479,WR,Anquan,,Boldin,8.455555386,9,5200,JAC@DET,DET,JAC,,
,,,,,,,,,,16939-52560:Geronimo Allison,16939-52560,WR,Geronimo,,Allison,3.76666673,3,5200,GB@WAS,GB,WAS,,
,,,,,,,,,,16939-6643:Reggie Bush,16939-6643,RB,Reggie,,Bush,2.866666794,6,5200,BUF@CIN,BUF,CIN,,
,,,,,,,,,,16939-6768:Eddie Royal,16939-6768,WR,Eddie,,Royal,9.88571385,7,5200,CHI@NYG,CHI,NYG,Q,Toe
,,,,,,,,,,16939-14198:Christian Ponder,16939-14198,QB,Christian,,Ponder,0,0,5200,NE@SF,SF,NE,,
